,time_since_ri,wind_speed
387,1 days 12:00:00,6.826832294464111
388,1 days 18:00:00,
389,-1 days +18:00:00,
390,0 days 00:00:00,16.644271850585938
391,0 days 06:00:00,
392,0 days 18:00:00,17.67380714416504
393,1 days 00:00:00,15.130526542663574
394,1 days 06:00:00,17.258119583129883
395,-1 days +18:00:00,12.075764656066895
396,0 days 00:00:00,11.632692337036133
397,0 days 06:00:00,11.268510818481445
398,0 days 18:00:00,11.573707580566406
399,1 days 00:00:00,20.694091796875
400,1 days 06:00:00,13.198512077331543
401,-1 days +12:00:00,12.075764656066895
402,-1 days +18:00:00,11.632692337036133
403,0 days 00:00:00,11.268510818481445
404,0 days 12:00:00,11.573707580566406
405,0 days 18:00:00,20.694091796875
406,1 days 00:00:00,13.198512077331543
407,1 days 12:00:00,
408,-1 days +00:00:00,12.075764656066895
409,-1 days +06:00:00,11.632692337036133
410,-1 days +12:00:00,11.268510818481445
411,0 days 00:00:00,11.573707580566406
412,0 days 06:00:00,20.694091796875
413,0 days 12:00:00,13.198512077331543
414,1 days 00:00:00,
415,1 days 06:00:00,
416,2 days 00:00:00,13.658586502075195
417,2 days 06:00:00,26.843996047973633
418,3 days 00:00:00,12.880537986755371
419,3 days 06:00:00,
420,-1 days +12:00:00,
421,0 days 00:00:00,21.044252395629883
422,0 days 06:00:00,
423,0 days 12:00:00,47.515357971191406
424,1 days 00:00:00,43.595741271972656
425,1 days 06:00:00,28.958656311035156
426,-1 days +12:00:00,10.134528160095215
427,-1 days +18:00:00,11.698609352111816
428,0 days 00:00:00,12.335572242736816
429,0 days 12:00:00,
430,0 days 18:00:00,
431,1 days 00:00:00,13.796085357666016
432,1 days 12:00:00,
433,1 days 18:00:00,15.354448318481445
434,2 days 00:00:00,15.715478897094727
435,-1 days +09:00:00,10.134528160095215
436,-1 days +15:00:00,11.698609352111816
437,-1 days +21:00:00,12.335572242736816
438,0 days 09:00:00,
439,0 days 15:00:00,
440,0 days 21:00:00,13.796085357666016
441,1 days 09:00:00,
442,1 days 15:00:00,15.354448318481445
443,1 days 21:00:00,15.715478897094727
444,-1 days +03:00:00,12.335572242736816
445,-1 days +15:00:00,
446,-1 days +21:00:00,
447,0 days 03:00:00,13.796085357666016
448,0 days 15:00:00,
449,0 days 21:00:00,15.354448318481445
450,1 days 03:00:00,15.715478897094727
451,1 days 15:00:00,40.79509735107422
452,-1 days +12:00:00,
453,-1 days +18:00:00,
454,0 days 00:00:00,13.796085357666016
